¢#0,©#457325,§#306
¢#0,©#62954,§#432
¢#0,©#2697,§#64551
¤#0,¢#13,©#1459434,§#104956
¢#0,©#3196606,§#7
¢#0,©#14,§#315
¢#0,©#1678025,§#594825
¢#0,©#181008,§#26
¢#0,©#1097476,§#7958
¢#0,©#3633420,§#13160
¢#0,©#13607,§#7351
¢#0,©#192,ª#4062,©#8447,§#13
¢#0,©#1467145,§#258095
¢#0,©#18449,§#70315
¢#0,©#96695,§#412460
¢#0,©#26,§#14789,§#1721036,©#9,ª#7425,©#151798,§#5
¢#0,©#31,§#15
¢#0,©#1646,§#2926
¢#0,©#640,§#52
¢#0,©#25,§#450951
¤#0,¢#87874,©#8,§#52
¢#0,©#83363,ª#1131019,ª#0,©#80946,§#504371
¢#0,©#433641,ª#581149,§#1208191
¢#0,©#368210,§#2572
¢#0,©#15,ª#86719,©#493671,§#8
¢#0,©#813,§#27994
¢#0,¢#18,ª#67593,©#1036125,ª#9,©#774720,§#15
¢#0,©#1013813,§#183910
¢#0,©#21,ª#2682584,§#339338
¢#0,©#27,§#5340
¢#0,©#27,§#1722764
¢#0,¢#3684537,©#8,§#5
¢#0,©#265,§#2358637
¢#0,©#205,ª#14,ª#61,©#863713,§#20
¢#0,©#23,§#17
¢#0,©#115,§#665908
¢#0,©#267755,ª#33,§#664264,©#274828,ª#505,§#776538
¢#0,¢#20762,ª#61,©#853442,§#14
¢#0,©#90180,§#2868
¢#0,©#32,§#2644
¢#0,©#11,§#775092
¢#0,©#271638,§#69291
¢#0,©#83,§#425734
¤#0,¢#1860,©#926252,§#3440
¢#0,¢#1096,©#26854,ª#69645,©#74436,£#23,§#612279
¢#0,©#3461,§#104
¢#0,©#1029190,§#168673
¢#0,©#236177,ª#83993,©#3549715,§#21
¢#0,©#421,§#22345
¢#0,©#4538,§#60518,©#22436,ª#67263,©#104835,§#94
¢#0,©#108772,§#607245
¤#0,¢#1535487,©#98709,§#1384
¢#0,©#35,§#272
¢#0,©#17,§#7900
¢#0,©#3124,§#44
¢#0,©#71678,§#2101
¢#0,©#32,ª#19331,©#521393,§#11
¢#0,©#60,ª#1046,©#2153286,§#2058
¢#0,©#11,§#507
¤#0,¢#182,©#6,§#8
¢#0,¢#2098,©#7,§#181754
¢#0,©#160,§#17
¢#0,©#20,ª#160169,©#358421,§#108,©#1460618,§#15532
¢#0,©#509434,ª#97928,§#600162
¢#0,©#5449,§#645
¢#0,©#24,ª#630,©#1045,ª#1603,©#1201840,§#50
¢#0,©#823,§#29
¢#0,©#2454,§#503
¤#0,¢#8,©#107,ª#455958,©#232479,§#27
¢#0,©#485,§#11
¢#0,©#239130,ª#535246,©#2231346,§#16
¢#0,©#635326,§#499012
¢#0,©#56916,§#491
¢#0,©#2068,§#538426
¢#0,©#9103,§#105
¢#0,©#184646,§#75066
¢#0,¢#250887,§#50
¢#0,©#1048750,§#6
¢#0,©#169,§#4578
¢#0,©#1066058,§#8
¢#0,¢#70621,©#1006,§#77290
¢#0,©#424852,§#504342
¢#0,¢#15,©#99754,§#193
¢#0,©#887150,ª#88577,§#424577
¢#0,©#762,§#37
¢#0,©#13462,§#1426
¢#0,§#98544
¢#0,©#354225,§#280
¤#0,¢#60298,©#343330,§#132
¢#0,©#87379,ª#33,©#1280721,§#6
¢#0,©#173586,§#136
¢#0,¢#902,©#87772,§#9
¢#0,©#4082,§#855712
¢#0,©#167527,ª#348276,©#161799,ª#3513,©#15880,§#12
¢#0,©#96363,§#36
¢#0,©#31,§#957422
¢#0,©#7677,§#1040
¢#0,©#7478,§#416496
¢#0,©#11,§#166221
¢#0,©#173331,ª#961487,©#83506,§#3313
¢#0,©#184,ª#3799,©#605725,§#12
¢#0,©#173613,§#1532876
¢#0,©#7632,§#7646
¢#0,§#682539
¢#0,¢#2427,©#33,§#84418
¢#0,©#1062986,§#6
¢#0,¢#22,©#8,§#4
¢#0,©#29,§#366327
¢#0,©#96,§#851,©#228629,ª#282779,©#681239,§#718
©#0,ª#2494,©#338041,§#66,§#1
¢#0,©#268647,ª#590804,§#13089
¢#0,§#83847
¢#0,©#18,§#152337
¢#0,©#18,§#271621
¢#0,©#61106,§#32
¢#0,¢#93344,©#18,§#58933
¢#0,¢#418496,©#770240,§#15
¢#0,©#1405491,§#238499
¢#0,©#320936,§#56
¢#0,©#8619,§#1700625
¢#0,©#519840,§#679764
¢#0,©#1133,§#8
¢#0,©#68045,§#355279
¢#0,¢#520523,©#7,§#6
¢#0,§#68850,§#1
¢#0,©#80,§#613075
¢#0,©#17,§#495380
¢#0,©#21,§#87963,©#339426,§#3009702
¢#0,©#620053,§#61
¢#0,©#1361898,§#30
¢#0,©#1044479,§#10
¢#0,©#3305,ª#18,©#368945,§#8
¢#0,¢#88132,©#13,§#3707835
¢#0,¢#874,©#74846,§#2349020
¢#0,©#153526,§#999
¢#0,©#43,§#12770
¤#0,¢#26,©#389,§#5012
¢#0,©#36,ª#3162,ª#3479,©#257139,§#175367
¤#0,¢#92,¢#52,©#419,§#18482
¢#0,©#969,§#5898
¢#0,©#1732710,§#281
¤#0,¢#15,©#35,§#859
¢#0,ª#96179,©#1876081,ª#14,©#454663,§#76977
¢#0,§#31
¢#0,©#43,ª#6793,©#347316,§#7,©#66778,§#99288
¢#0,¢#21,©#340611,§#2242
¢#0,©#19,§#633
¢#0,©#38,§#10825
¢#0,©#18,§#15844
¢#0,©#2022,§#3289
¢#0,¢#19,©#23,§#622882
¢#0,©#421,§#1320
¢#0,©#7803,§#938
¢#0,©#59392,§#8
¢#0,©#6975,§#1543,©#4174,ª#5367,©#72682,§#13
¢#0,©#1825,§#228501
¢#0,©#63719,§#15512
¢#0,©#36,§#83
¢#0,©#1890158,ª#26869,§#1124859
¢#0,©#350462,§#437
¢#0,©#34,ª#777252,©#1555795,§#17
¢#0,¢#627,©#283091,§#72
¢#0,©#1811386,ª#413,©#255388,§#9
¢#0,©#2294,§#2051851
¢#0,¢#9598,©#15016,ª#706,©#69605,§#1483
¢#0,©#15,ª#81414,©#1487770,§#14
¢#0,¢#1219841,©#7,§#508412
¢#0,©#1486425,§#6
¢#0,©#427146,§#90,©#1220758,§#75859
¢#0,¢#148779,©#93906,§#12171,§#734
¢#0,©#24,ª#232421,©#95218,§#15
¢#0,©#20,§#45
¢#0,©#3734553,§#245
¢#0,§#1560409,§#0
¢#0,©#273922,§#7
¢#0,©#430105,§#18
¢#0,ª#92,§#81666,§#5
¢#0,¢#149,©#1410749,§#1124789
¢#0,¢#6318,©#333531,§#12
¢#0,©#2057308,§#32
¢#0,©#1211008,§#1787104
¢#0,¢#374635,©#63708,§#8
¢#0,©#10,ª#6178,©#14181,§#49
¢#0,¢#18,©#10026,ª#59005,ª#3,©#2332462,§#1230635
¢#0,©#66821,©#880,§#1864
¢#0,©#85486,ª#11,©#1028143,§#7
¢#0,©#1198887,§#27
¢#0,©#83596,§#50
¢#0,©#21,ª#275397,©#329380,§#10
¢#0,ª#411997,©#1116669,§#7
¢#0,¢#65,©#67846,§#2960
¢#0,©#22,§#117
¢#0,©#105837,§#322003
¢#0,©#359890,§#161
¢#0,¢#2652,©#19115,§#345668
¢#0,©#510929,§#542827
¢#0,©#3265823,§#7
¢#0,©#1978180,§#12
¢#0,¢#13,©#65813,§#6
¢#0,©#66577,§#1551
¢#0,©#682024,§#39
¢#0,©#939440,§#257137
¤#0,¢#171273,©#21,§#1752124,§#3
¢#0,©#2446394,§#39
¢#0,©#10884,ª#70,©#955291,§#14
¢#0,©#387,§#6
¢#0,©#404777,§#87
¤#0,¢#59745,©#6544,§#973143
¢#0,©#31,ª#4931,ª#263094,©#2303754,§#64
¢#0,©#94171,§#61
¢#0,¢#10,©#162874,§#7115
¢#0,©#8,§#10
¢#0,©#17849,§#497522
¢#0,©#361134,ª#72048,§#88898
¢#0,©#35,§#74059
¢#0,©#23407,§#498
¢#0,¢#93,©#413,§#11211
¢#0,©#69,§#13044
¢#0,©#21,ª#209,©#91622,§#39
¢#0,©#31,§#60405
¢#0,¢#413903,©#11534,§#105
¢#0,©#485968,§#30179
¢#0,©#14,§#1657
¢#0,©#953547,ª#189493,©#584330,§#9
¢#0,©#1125135,§#22296
¢#0,©#238009,§#3631
¢#0,©#19,§#2877851,§#1
¢#0,©#20313,§#582870,§#0
